id_item,id_requerido
98,90
362,54
448,96
619,480
834,74
1317,228
1485,480
1506,1321
1717,777
1922,917
1938,819
2073,242
2084,1669
2110,760
2115,997
2151,1513
2271,1710
2428,994
2437,1327
2456,92
2475,1815
2516,444
2625,702
2760,775
2795,737
2890,2707
3012,216
3081,2365
3082,72
3089,1919
3195,1377
3252,129
3298,3112
3337,2920
3413,1973
3544,3488
3555,2021
3689,1016
3697,2526
3725,2030
3813,1767
3930,3740
3944,3444
3975,946
4175,2343
4235,4218
4236,95
4243,3364
4270,2375
4332,3476
4337,3604
4395,301
4504,684
4572,2252
4608,2551
4664,4631
4678,2569
4706,3947
4711,3279
4744,1517
4747,4438
4806,705
4827,2781
4831,1908
4868,1419
4874,3401
4899,1498
4906,3811
4943,2017
5038,400
5085,398
5105,2678
5127,4122
5128,2244
5157,3666
5163,5018
5211,1731
5237,1196
5237,1784
5254,783
5283,1369
5315,2379
5345,2913
5381,1062
5399,2573
5644,2684
5662,221
5678,715
5763,5523
5848,475
5861,2437
5880,402
5892,4521
5895,2176
5922,2001
5930,1627
5938,2596
6025,4653
6032,520
6035,1861
6054,2816
6057,2472
6059,919
6070,2295
6090,3711
6111,88
6123,1110
6152,840
6156,3990
6184,5285
6200,226
6251,4810
6272,2621
6289,626
6321,891
6334,67
6345,185
6345,322
6369,2504
6414,2020
6498,3160
6525,3948
6610,1145
6616,3083
6636,5608
6672,2383
6734,1029
6736,6414
6742,3256
6763,6013
6773,2486
6785,5132
6799,1574
6801,2897
6893,6109
6928,3216
6941,1115
6971,4308
6979,5898
6990,3319
7005,5734
7010,5427
7032,723
7050,6380
7055,4533
7057,3108
7102,750
7136,6219
7137,1260
7157,1682
7161,6382
7179,6207
7192,744
7195,174
7256,138
7279,4130
7282,44
7296,6262
7342,4346
7367,1231
7414,2896
7463,2619
7481,5941
7491,5700
7499,1021
7521,1991
7544,485
7588,3348
7600,4594
7604,5153
7624,4696
7627,3328
7647,826
7657,4968
7660,835
7670,4144
7699,4306
7706,4014
7747,2524
7754,7353
7819,3336
7847,6732
7901,4896
7917,7901
7942,2949
7951,5957
7955,3362
7969,2616
7998,7011
8043,631
8044,5381
8071,4232
8089,6626
8099,7085
8121,265
8187,658
8192,7605
8215,5334
8249,6772
8251,381
8261,6537
8282,2849
8295,7810
8306,2934
8307,6784
8323,4
8354,6730
8359,7766
8365,2697
8372,3705
8386,7181
8404,1439
8413,7999
8440,7025
8443,4799
8490,3638
8579,1038
8580,6491
8584,892
8605,3921
8616,2413
8641,7544
8675,7011
8680,8005
8683,3171
8685,308
8694,4379
8696,7472
8703,1021
8719,3542
8744,22
8751,7336
8762,3639
8764,1275
8769,1139
8779,1588
8786,5911
8797,1817
8828,993
8831,1288
8840,8740
8843,628
8846,5286
8876,5689
8880,4633
8883,3437
8918,4363
8937,5371
8945,6919
8947,5665
8951,4017
9005,754
9043,1923
9059,7172
9065,2898
9071,4103
9085,5160
9090,949
9136,677
9155,72
9157,8160
9162,7196
9165,239
9204,6270
9232,53
9232,8273
9234,3792
9245,708
9261,4521
9296,689
9298,3635
9339,1699
9381,6650
9405,8921
9441,1676
9450,7740
9453,387
9480,4705
9486,9021
9516,8881
9563,8898
9567,9368
9569,4385
9605,1923
9634,770
9682,6408
9698,175
9716,5658
9765,7660
9768,4587
9778,2199
9876,794
9892,9511
9898,2611
9905,7477
9929,6857
9974,1530
9982,8135
9989,1653
9991,3362
