id_item_a,id_item_b
2,255
52,8853
53,3011
62,9048
82,328
92,804
94,1601
107,8452
112,3030
131,1270
135,5734
138,7644
158,9241
160,3992
162,3536
184,8801
196,8631
223,659
239,834
250,255
254,8131
265,7312
296,7260
300,4681
300,5984
300,9178
302,9495
311,6657
314,9354
331,4324
346,9116
347,8584
353,7196
356,7713
369,4799
369,9858
372,3837
375,6605
394,1173
395,9928
397,7378
419,3609
429,1914
433,5472
450,8376
451,2378
451,6786
455,6797
491,1294
498,1865
507,534
510,8853
511,5056
546,3545
546,5720
551,3039
558,5824
561,2604
581,3977
587,8819
592,5641
613,4814
646,4307
648,7709
654,1664
679,4535
689,9121
726,1367
739,7813
742,5270
755,7836
757,5905
759,943
761,4965
764,5407
765,4304
795,2856
815,6835
823,2306
853,4827
855,8829
862,1359
869,2803
877,3411
880,5317
887,6157
908,2209
910,5924
910,6048
922,2950
928,7897
933,6338
936,4189
940,1338
949,2657
950,2233
953,6660
971,9430
976,9223
982,9124
987,9099
992,1363
994,5264
998,6580
1003,7298
1016,7871
1034,1302
1038,3223
1051,9128
1059,9608
1075,7556
1103,1443
1108,7314
1117,4052
1132,9287
1132,9390
1148,1844
1150,7611
1158,8148
1166,4207
1183,4176
1212,9936
1218,8418
1221,3800
1223,6571
1240,9299
1258,2564
1265,8076
1268,6815
1286,4968
1297,1462
1299,2810
1300,7438
1302,7328
1346,1572
1368,6285
1368,7717
1377,5052
1392,6061
1393,5130
1402,5898
1480,6216
1485,1637
1502,3691
1512,3123
1513,4361
1529,7058
1548,4312
1569,2021
1582,2358
1592,6270
1598,8823
1601,4611
1618,9313
1624,6361
1633,6157
1633,8815
1634,4770
1644,4830
1644,5190
1657,2037
1676,7540
1682,7084
1699,7296
1710,9672
1718,9581
1735,8491
1740,6883
1749,6102
1750,2796
1753,8887
1784,5542
1792,8176
1797,8062
1819,4452
1828,9223
1829,3690
1831,6384
1837,8310
1856,7346
1870,3119
1898,4917
1918,6449
1926,6032
1931,1934
1961,2120
1975,9640
1993,4056
2009,7448
2030,2777
2068,5612
2078,6938
2081,4455
2081,4892
2124,8477
2133,3350
2143,8651
2166,5305
2203,9430
