id,valor,peso,volumen,categoria
1,65.75,2.23,11.73,food
2,18.26,6.02,29.89,clothing
3,13.26,21.67,2.16,food
4,27.1,30.5,22.89,clothing
5,44.85,23.01,11.85,tools
6,77.09,8.82,17.48,electronics
7,19.77,47.9,14.13,tools
8,41.09,18.59,14.41,electronics
9,81.68,36.76,21.91,medical
10,12.49,15.37,25.52,electronics
11,59.85,35.52,2.79,food
12,78.44,49.28,34.36,tools
13,41.11,23.22,33.53,food
14,40.17,11.27,11.41,tools
15,62.87,9.39,29.44,food
16,48.91,14.23,37.09,clothing
17,25.86,16.89,30.96,tools
18,26.76,2.57,13.3,electronics
19,11.29,45.74,23.12,electronics
20,25.2,25.46,35.5,medical
21,18.57,7.84,30.05,clothing
22,29.96,29.64,36.02,medical
23,39.39,49.87,6.39,medical
24,13.64,3.31,5.28,food
25,80.25,21.69,3.48,medical
26,61.61,23.93,10.81,clothing
27,86.77,1.56,29.11,clothing
28,76.33,38.66,14.27,electronics
29,46.3,23.23,38.2,electronics
30,97.33,38.34,20.8,tools
31,87.7,15.62,25.92,clothing
32,23.9,19.32,7.3,clothing
33,92.26,30.35,20.06,tools
34,93.26,44.06,33.43,electronics
35,27.75,12.8,23.13,tools
36,13.14,24.81,3.7,clothing
37,77.75,7.29,19.54,clothing
38,20.69,26.86,24.66,food
39,93.25,38.01,27.9,electronics
40,42.9,33.91,15.56,clothing
41,47.89,13.15,3.5,tools
42,60.89,12.28,9.59,tools
43,72.24,3.88,3.63,tools
44,86.67,4.47,10.28,medical
45,25.35,7.48,37.49,clothing
46,59.74,12.91,19.45,medical
47,23.09,5.75,17.81,medical
48,44.05,43.33,3.11,tools
49,10.76,36.68,32.22,tools
50,28.62,10.32,18.5,medical
51,22.43,23.67,35.1,tools
52,47.1,43.21,22.46,tools
53,66.95,27.49,1.58,tools
54,93.0,42.59,7.49,medical
55,50.73,43.37,36.2,food
56,41.0,49.28,11.34,medical
57,32.1,35.13,29.49,clothing
58,67.88,24.85,8.41,food
59,97.03,29.38,22.15,electronics
60,10.43,29.62,20.61,clothing
61,19.96,48.08,4.12,food
62,11.51,4.33,34.61,medical
63,16.39,44.62,10.6,clothing
64,8.78,5.02,26.64,clothing
65,54.66,46.8,8.97,electronics
66,27.68,20.39,27.2,electronics
67,48.44,46.52,37.49,tools
68,48.54,49.92,39.85,tools
69,56.08,25.79,6.17,electronics
70,88.68,44.08,15.41,food
71,46.63,27.62,12.8,clothing
72,5.74,41.04,12.68,tools
73,94.2,7.58,5.5,tools
74,75.53,8.62,11.99,food
75,73.17,10.98,25.74,electronics
76,53.01,13.3,36.42,tools
77,13.77,21.76,11.79,tools
78,36.69,7.41,39.21,food
79,75.42,28.03,17.68,tools
80,15.63,47.31,27.95,food
81,56.83,41.9,23.72,food
82,45.83,3.05,15.22,tools
83,90.4,11.29,10.73,tools
84,38.6,28.43,35.11,clothing
85,76.2,46.36,10.23,food
86,97.74,40.73,35.38,tools
87,22.04,46.3,31.51,medical
88,81.21,43.34,32.62,electronics
89,20.12,35.36,15.92,tools
90,86.57,11.9,32.85,medical
91,38.22,41.21,34.98,food
92,7.25,10.46,13.8,tools
93,96.85,14.68,26.02,medical
94,69.55,42.34,13.91,tools
95,15.96,48.55,7.96,electronics
96,8.63,30.23,14.48,electronics
97,46.46,49.23,5.51,clothing
98,23.06,3.17,18.01,clothing
99,92.93,27.38,29.06,food
100,39.6,4.43,26.91,electronics
101,64.2,33.51,5.86,electronics
102,53.18,33.68,13.72,electronics
103,57.67,10.4,26.93,medical
104,69.35,45.24,25.01,electronics
105,43.58,41.85,12.85,food
106,45.84,29.42,26.53,medical
107,46.97,34.11,20.94,food
108,67.59,14.91,26.89,clothing
109,36.84,41.1,30.29,electronics
110,26.34,10.76,1.95,food
111,98.47,30.95,30.97,medical
112,44.37,31.86,8.58,medical
113,51.97,12.96,26.59,tools
114,89.8,43.16,35.53,medical
115,25.79,40.4,28.14,medical
116,9.77,13.21,34.09,medical
117,17.67,23.77,21.71,clothing
118,61.57,47.55,35.77,clothing
119,82.43,44.71,17.64,clothing
120,47.36,8.8,34.6,medical
121,29.62,13.11,25.87,clothing
122,51.04,12.72,18.16,electronics
123,27.28,17.46,35.83,tools
124,18.15,12.33,28.06,food
125,11.1,20.97,22.16,medical
126,10.92,41.81,16.19,clothing
127,94.88,1.96,35.35,clothing
128,41.14,1.29,14.72,medical
129,86.08,47.72,17.34,clothing
130,80.99,44.99,20.04,electronics
131,46.4,2.42,14.11,medical
132,73.8,42.18,36.86,clothing
133,55.74,45.44,24.08,tools
134,12.98,22.0,34.81,food
135,9.78,19.58,9.25,electronics
136,37.06,44.1,11.85,medical
137,28.97,5.01,1.76,clothing
138,9.95,47.64,9.74,tools
139,79.22,32.94,30.42,food
140,23.94,2.0,6.94,food
141,49.99,6.61,37.96,medical
142,71.45,38.58,7.54,clothing
143,96.55,36.2,31.33,food
144,96.65,6.3,2.0,electronics
145,59.7,45.49,15.64,food
146,12.22,34.84,25.46,tools
147,71.23,15.78,27.69,tools
148,80.64,28.73,2.6,clothing
149,45.7,19.16,20.73,electronics
150,6.2,21.58,20.12,medical
151,96.27,32.14,33.32,food
152,46.37,36.96,38.65,electronics
153,63.51,46.06,31.21,medical
154,46.38,36.82,11.47,food
155,83.92,5.25,35.38,food
156,76.3,28.92,27.06,electronics
157,7.73,42.7,8.09,food
158,38.71,13.66,11.91,clothing
159,71.61,14.54,1.4,food
160,13.13,36.28,20.05,food
161,70.61,32.65,20.14,tools
162,13.84,11.86,27.98,electronics
163,68.08,19.08,22.59,electronics
164,45.42,37.55,13.9,medical
165,30.74,13.32,5.71,food
166,34.98,37.4,38.08,food
167,23.2,37.19,11.78,clothing
168,97.78,26.71,12.04,tools
169,84.1,15.52,15.07,electronics
170,6.34,27.17,11.7,tools
171,57.57,35.17,5.92,medical
172,14.75,1.6,12.09,medical
173,46.84,10.03,3.0,medical
174,15.84,4.2,20.18,clothing
175,64.8,3.63,6.82,clothing
176,95.17,5.17,10.68,clothing
177,77.62,30.71,31.84,food
178,78.69,19.64,36.43,electronics
179,86.72,49.51,12.91,clothing
180,10.72,48.05,4.87,food
181,64.42,13.97,4.17,food
182,21.51,4.68,1.1,medical
183,70.49,24.03,2.27,electronics
184,72.16,35.45,18.71,food
185,92.77,39.6,25.38,food
186,45.39,27.68,26.26,electronics
187,83.53,4.5,7.47,electronics
188,61.53,41.39,36.93,medical
189,16.81,34.75,28.29,electronics
190,52.54,25.2,4.14,tools
191,89.5,36.99,24.54,tools
192,13.68,48.13,33.6,clothing
193,60.78,2.02,30.83,electronics
194,59.74,38.39,7.83,clothing
195,66.89,45.89,8.08,clothing
196,46.41,40.9,38.79,medical
197,38.06,17.33,27.14,food
198,36.33,34.99,12.24,medical
199,82.29,27.95,18.74,electronics
200,28.98,6.68,31.13,clothing
201,83.37,1.06,34.91,medical
202,44.26,10.19,15.11,medical
203,64.41,38.24,8.94,clothing
204,17.45,15.11,35.35,medical
205,16.54,48.68,24.75,food
206,72.43,16.23,1.53,medical
207,13.85,49.62,36.6,medical
208,94.97,32.74,7.0,electronics
209,53.34,14.4,33.55,medical
210,28.15,28.01,15.96,clothing
211,53.28,44.09,34.7,electronics
212,78.4,42.87,14.26,clothing
213,30.38,1.13,29.32,clothing
214,60.09,33.34,34.75,medical
215,56.17,17.91,22.52,clothing
216,40.83,46.71,34.91,food
217,59.32,12.44,31.25,tools
218,35.23,24.18,36.62,medical
219,41.68,33.52,33.01,food
220,52.06,2.81,20.59,clothing
221,36.54,5.92,33.96,tools
222,54.97,23.39,29.18,medical
223,87.74,48.53,3.92,electronics
224,37.16,34.94,26.34,electronics
225,85.97,43.11,15.82,electronics
226,64.55,44.48,20.03,clothing
227,8.41,4.35,25.62,electronics
228,99.76,37.59,17.92,tools
229,77.24,35.49,4.92,food
