id_item,id_requerido
166,103
194,6
200,35
207,11
261,138
268,260
270,66
283,89
284,232
357,356
369,245
371,110
380,184
380,228
385,8
399,165
416,405
419,264
419,324
424,209
436,101
437,159
446,91
466,200
483,149
496,260
507,450
521,220
529,523
531,16
531,293
533,121
563,93
571,495
573,569
579,434
592,315
592,536
601,206
613,291
624,82
627,375
629,411
629,564
630,174
656,180
668,600
671,1
671,211
672,534
676,122
686,362
691,37
697,283
714,590
714,701
716,238
723,408
724,54
729,294
742,39
744,292
754,142
755,721
762,727
766,236
774,407
785,489
793,353
799,410
802,458
803,566
803,614
805,411
809,8
821,347
824,6
824,705
840,793
844,94
850,573
871,673
876,549
880,86
885,876
898,557
932,239
937,597
942,71
949,615
953,414
954,394
954,824
969,59
973,717
987,612
987,621
987,836
988,652
1000,162
