id_item_a,id_item_b
2,848
5,173
7,619
11,515
17,112
20,653
20,914
23,421
32,647
38,565
40,899
41,525
41,665
42,225
44,240
45,250
45,715
48,903
56,872
58,151
65,238
69,688
71,605
72,922
75,298
78,745
79,527
79,642
80,856
84,862
88,970
93,523
96,121
99,182
101,257
103,241
106,332
112,180
117,738
118,186
122,677
131,588
132,366
134,924
136,395
138,298
138,369
138,645
143,451
144,457
144,847
147,616
150,754
153,794
154,217
154,621
157,580
162,192
164,184
165,607
166,605
170,236
170,701
171,265
172,271
175,225
179,386
185,945
187,639
199,326
202,270
203,744
208,536
212,685
216,491
218,929
222,460
227,805
229,913
229,930
235,961
236,388
236,425
245,679
253,321
258,530
267,557
270,593
271,379
281,850
284,861
288,659
288,880
291,842
292,635
313,794
314,676
324,828
337,632
339,831
339,975
340,899
351,945
354,889
359,391
362,837
368,457
368,962
370,811
371,617
373,407
374,581
375,402
375,602
380,896
386,997
388,670
398,481
415,593
416,529
416,614
421,851
430,847
431,535
439,982
440,543
442,665
447,657
462,498
465,611
466,940
473,563
474,492
476,514
483,622
484,670
488,924
494,676
494,692
494,822
494,889
494,909
496,750
499,565
499,595
499,812
500,780
514,904
516,771
517,701
520,870
524,676
527,776
530,982
531,930
534,649
545,803
552,913
553,618
553,916
558,584
563,661
578,993
580,676
580,972
581,873
587,913
596,833
597,814
599,711
604,791
604,824
605,788
615,630
622,662
629,826
663,854
670,920
672,688
678,746
688,819
695,794
696,751
703,742
721,992
730,758
735,837
737,900
751,878
752,908
760,855
760,930
770,955
780,858
786,841
788,809
869,988
881,932
894,991
919,961
