id,valor,peso,volumen,categoria
1,65.75,2.23,11.73,food
2,18.26,6.02,29.89,clothing
3,13.26,21.67,2.16,food
4,27.1,30.5,22.89,clothing
5,44.85,23.01,11.85,tools
6,77.09,8.82,17.48,electronics
7,19.77,47.9,14.13,tools
8,41.09,18.59,14.41,electronics
9,81.68,36.76,21.91,medical
10,12.49,15.37,25.52,electronics
11,59.85,35.52,2.79,food
12,78.44,49.28,34.36,tools
13,41.11,23.22,33.53,food
14,40.17,11.27,11.41,tools
15,62.87,9.39,29.44,food
16,48.91,14.23,37.09,clothing
17,25.86,16.89,30.96,tools
18,26.76,2.57,13.3,electronics
19,11.29,45.74,23.12,electronics
20,25.2,25.46,35.5,medical
21,18.57,7.84,30.05,clothing
22,29.96,29.64,36.02,medical
23,39.39,49.87,6.39,medical
24,13.64,3.31,5.28,food
25,80.25,21.69,3.48,medical
26,61.61,23.93,10.81,clothing
27,86.77,1.56,29.11,clothing
28,76.33,38.66,14.27,electronics
29,46.3,23.23,38.2,electronics
30,97.33,38.34,20.8,tools
31,87.7,15.62,25.92,clothing
32,23.9,19.32,7.3,clothing
33,92.26,30.35,20.06,tools
34,93.26,44.06,33.43,electronics
35,27.75,12.8,23.13,tools
36,13.14,24.81,3.7,clothing
37,77.75,7.29,19.54,clothing
38,20.69,26.86,24.66,food
39,93.25,38.01,27.9,electronics
40,42.9,33.91,15.56,clothing
41,47.89,13.15,3.5,tools
42,60.89,12.28,9.59,tools
43,72.24,3.88,3.63,tools
44,86.67,4.47,10.28,medical
45,25.35,7.48,37.49,clothing
46,59.74,12.91,19.45,medical
47,23.09,5.75,17.81,medical
48,44.05,43.33,3.11,tools
49,10.76,36.68,32.22,tools
50,28.62,10.32,18.5,medical
51,22.43,23.67,35.1,tools
52,47.1,43.21,22.46,tools
53,66.95,27.49,1.58,tools
54,93.0,42.59,7.49,medical
55,50.73,43.37,36.2,food
56,41.0,49.28,11.34,medical
57,32.1,35.13,29.49,clothing
58,67.88,24.85,8.41,food
59,97.03,29.38,22.15,electronics
60,10.43,29.62,20.61,clothing
61,19.96,48.08,4.12,food
62,11.51,4.33,34.61,medical
63,16.39,44.62,10.6,clothing
64,8.78,5.02,26.64,clothing
65,54.66,46.8,8.97,electronics
66,27.68,20.39,27.2,electronics
67,48.44,46.52,37.49,tools
68,48.54,49.92,39.85,tools
69,56.08,25.79,6.17,electronics
70,88.68,44.08,15.41,food
71,46.63,27.62,12.8,clothing
72,5.74,41.04,12.68,tools
73,94.2,7.58,5.5,tools
74,75.53,8.62,11.99,food
75,73.17,10.98,25.74,electronics
76,53.01,13.3,36.42,tools
77,13.77,21.76,11.79,tools
78,36.69,7.41,39.21,food
79,75.42,28.03,17.68,tools
80,15.63,47.31,27.95,food
81,56.83,41.9,23.72,food
82,45.83,3.05,15.22,tools
83,90.4,11.29,10.73,tools
84,38.6,28.43,35.11,clothing
85,76.2,46.36,10.23,food
86,97.74,40.73,35.38,tools
87,22.04,46.3,31.51,medical
88,81.21,43.34,32.62,electronics
89,20.12,35.36,15.92,tools
90,86.57,11.9,32.85,medical
91,38.22,41.21,34.98,food
92,7.25,10.46,13.8,tools
93,96.85,14.68,26.02,medical
94,69.55,42.34,13.91,tools
95,15.96,48.55,7.96,electronics
96,8.63,30.23,14.48,electronics
97,46.46,49.23,5.51,clothing
98,23.06,3.17,18.01,clothing
99,92.93,27.38,29.06,food
100,39.6,4.43,26.91,electronics
