variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,kernel_time_ms,transfer_d2h_ms,transfer_h2d_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_basic,instance_medium,4096,1000,42,64,200,805.874,107.357,7.71827,2.68035,0.388287,38771.8,1,0.258238,22249.6
cuda_basic,instance_medium,4096,1000,43,64,200,803.473,107.177,7.81011,2.77939,0.385321,38232.9,1,0.260814,22452.2
cuda_basic,instance_medium,4096,1000,44,64,200,817.741,115.235,7.97142,2.83702,0.384974,38096.2,1,0.257152,22140.7
cuda_basic,instance_medium,4096,1000,45,64,200,806.297,107.041,7.74864,2.68371,0.381069,37797.9,1,0.258751,22298.9
cuda_basic,instance_medium,4096,1000,46,64,200,802.091,106.938,7.78144,2.76186,0.381684,37474.4,1,0.258958,22294.4
cuda_basic,instance_medium,4096,1000,47,64,200,812.233,107.363,7.64886,2.66826,0.386659,38212.4,1,0.259324,22327.5
cuda_basic,instance_medium,4096,1000,48,64,200,815.306,107.134,8.00451,2.70499,0.3834,37683.5,1,0.25778,22198.2
cuda_basic,instance_medium,4096,1000,49,64,200,805.165,107.025,7.77901,2.67136,0.387162,38463.7,1,0.258162,22219
cuda_basic,instance_medium,4096,1000,50,64,200,803.958,107.268,7.74067,2.65619,0.383788,37857.9,1,0.259642,22373.8
cuda_basic,instance_medium,4096,1000,51,64,200,809.606,106.991,7.73539,2.68253,0.383244,37518.9,1,0.263028,22665
cuda_basic,instance_medium,4096,1000,42,128,200,845.862,143.581,7.91075,2.75306,0.388287,38771.8,1,0.258238,22249.6
cuda_basic,instance_medium,4096,1000,43,128,200,834.203,143.778,7.78691,2.76618,0.385321,38232.9,1,0.260814,22452.2
cuda_basic,instance_medium,4096,1000,44,128,200,844.133,143.848,7.8801,2.6936,0.384974,38096.2,1,0.257152,22140.7
cuda_basic,instance_medium,4096,1000,45,128,200,847.035,143.937,7.64144,2.68819,0.381069,37797.9,1,0.258751,22298.9
cuda_basic,instance_medium,4096,1000,46,128,200,833.336,143.746,7.74464,2.6712,0.381684,37474.4,1,0.258958,22294.4
cuda_basic,instance_medium,4096,1000,47,128,200,847.298,144.258,7.6903,2.6672,0.386659,38212.4,1,0.259324,22327.5
cuda_basic,instance_medium,4096,1000,48,128,200,850.122,143.622,7.77168,2.66646,0.3834,37683.5,1,0.25778,22198.2
cuda_basic,instance_medium,4096,1000,49,128,200,839.85,143.709,7.69987,2.68595,0.387162,38463.7,1,0.258162,22219
cuda_basic,instance_medium,4096,1000,50,128,200,834.959,143.932,7.82048,2.80576,0.383788,37857.9,1,0.259642,22373.8
cuda_basic,instance_medium,4096,1000,51,128,200,845.002,143.405,7.78374,2.75354,0.383244,37518.9,1,0.263028,22665
cuda_basic,instance_medium,4096,1000,42,256,200,899.334,196.473,7.73664,2.66298,0.388287,38771.8,1,0.258238,22249.6
cuda_basic,instance_medium,4096,1000,43,256,200,894.987,196.396,7.77373,2.7153,0.385321,38232.9,1,0.260814,22452.2
cuda_basic,instance_medium,4096,1000,44,256,200,886.331,196.62,7.97078,2.68662,0.384974,38096.2,1,0.257152,22140.7
cuda_basic,instance_medium,4096,1000,45,256,200,888.828,196.31,7.71056,2.66883,0.381069,37797.9,1,0.258751,22298.9
cuda_basic,instance_medium,4096,1000,46,256,200,888.45,196.568,7.79357,2.79606,0.381684,37474.4,1,0.258958,22294.4
cuda_basic,instance_medium,4096,1000,47,256,200,889.229,196.607,7.63536,2.6881,0.386659,38212.4,1,0.259324,22327.5
cuda_basic,instance_medium,4096,1000,48,256,200,890.899,196.634,7.75376,2.68173,0.3834,37683.5,1,0.25778,22198.2
cuda_basic,instance_medium,4096,1000,49,256,200,886.604,196.699,7.67075,2.67168,0.387162,38463.7,1,0.258162,22219
cuda_basic,instance_medium,4096,1000,50,256,200,889.326,196.536,7.70877,2.65283,0.383788,37857.9,1,0.259642,22373.8
cuda_basic,instance_medium,4096,1000,51,256,200,887.342,196.425,7.71728,2.65738,0.383244,37518.9,1,0.263028,22665
cuda_basic,instance_medium,4096,1000,42,512,200,1030.19,334.66,7.71187,2.65981,0.388287,38771.8,1,0.258238,22249.6
cuda_basic,instance_medium,4096,1000,43,512,200,1024.81,334.814,7.84499,2.74691,0.385321,38232.9,1,0.260814,22452.2
cuda_basic,instance_medium,4096,1000,44,512,200,1025.78,334.623,7.71498,2.66698,0.384974,38096.2,1,0.257152,22140.7
cuda_basic,instance_medium,4096,1000,45,512,200,1031.98,334.606,7.73322,2.66205,0.381069,37797.9,1,0.258751,22298.9
cuda_basic,instance_medium,4096,1000,46,512,200,1025.9,334.259,7.7201,2.67808,0.381684,37474.4,1,0.258958,22294.4
cuda_basic,instance_medium,4096,1000,47,512,200,1032.9,334.845,7.48506,2.67664,0.386659,38212.4,1,0.259324,22327.5
cuda_basic,instance_medium,4096,1000,48,512,200,1025.6,334.796,7.64678,2.67786,0.3834,37683.5,1,0.25778,22198.2
cuda_basic,instance_medium,4096,1000,49,512,200,1024.51,334.969,7.82496,2.77402,0.387162,38463.7,1,0.258162,22219
cuda_basic,instance_medium,4096,1000,50,512,200,1033.3,334.567,7.71558,2.67302,0.383788,37857.9,1,0.259642,22373.8
cuda_basic,instance_medium,4096,1000,51,512,200,1026.87,334.482,7.83491,2.72432,0.383244,37518.9,1,0.263028,22665
