variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_optimized,instance_medium,4096,1000,42,64,200,765.211,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,64,200,767.02,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,64,200,766.757,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,64,200,767.422,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,64,200,764.311,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,64,200,772.634,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,64,200,776.873,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,64,200,767.625,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,64,200,762.882,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,64,200,760.046,0.385211,37589.6,1,0.263374,22694.7
cuda_optimized,instance_medium,4096,1000,42,128,200,778.07,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,128,200,773.056,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,128,200,765.366,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,128,200,768.523,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,128,200,764.438,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,128,200,775.503,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,128,200,771.988,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,128,200,778.584,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,128,200,772.516,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,128,200,775.013,0.385211,37589.6,1,0.263374,22694.7
cuda_optimized,instance_medium,4096,1000,42,256,200,819.226,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,256,200,806.105,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,256,200,805.194,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,256,200,813.858,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,256,200,806.273,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,256,200,807.325,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,256,200,814.588,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,256,200,806.363,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,256,200,805.161,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,256,200,809.585,0.385211,37589.6,1,0.263374,22694.7
cuda_optimized,instance_medium,4096,1000,42,512,200,904.154,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,512,200,909.157,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,512,200,908.307,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,512,200,911.703,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,512,200,907.69,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,512,200,909.358,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,512,200,910.7,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,512,200,902.461,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,512,200,910.313,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,512,200,908.777,0.385211,37589.6,1,0.263374,22694.7
