variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,kernel_time_ms,transfer_d2h_ms,transfer_h2d_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_optimized,instance_medium,4096,1000,42,64,200,766.208,89.266,5.74611,0.334912,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,64,200,768.219,89.1934,5.75939,0.346144,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,64,200,764.699,89.4545,5.76662,0.3392,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,64,200,768.203,89.0994,5.7848,0.321728,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,64,200,775.373,96.0664,5.8631,0.293696,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,64,200,767.36,95.9864,5.86102,0.30432,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,64,200,768.511,96.0641,5.97194,0.34704,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,64,200,772.323,89.4656,5.81869,0.299264,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,64,200,775.326,89.1026,5.89427,0.291904,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,64,200,765.691,89.209,5.78288,0.326752,0.385211,37589.6,1,0.263374,22694.7
cuda_optimized,instance_medium,4096,1000,42,128,200,774.274,95.8707,5.84986,0.300928,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,128,200,778.885,96.0349,5.71078,0.372544,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,128,200,765.196,96.0917,5.70429,0.289824,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,128,200,774.879,95.8236,5.86426,0.29184,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,128,200,765.712,95.8702,5.73862,0.349888,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,128,200,767.065,95.8072,5.7584,0.3112,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,128,200,767.745,95.7893,5.60768,0.282496,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,128,200,790.026,103.462,5.95526,0.279936,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,128,200,783.509,103.717,5.84128,0.299872,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,128,200,786.796,103.203,5.87485,0.359232,0.385211,37589.6,1,0.263374,22694.7
cuda_optimized,instance_medium,4096,1000,42,256,200,829.91,146.101,5.87923,0.29392,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,256,200,818.797,135.498,5.72134,0.297728,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,256,200,809.981,135.557,5.7408,0.309536,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,256,200,804.186,135.022,5.76506,0.29904,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,256,200,813.315,134.888,5.74282,0.370176,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,256,200,805.814,135.229,5.73648,0.316736,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,256,200,811.762,135.173,5.83482,0.333568,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,256,200,803.728,135.382,5.77981,0.33616,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,256,200,810.124,135.011,5.76653,0.293664,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,256,200,802.051,134.5,5.71981,0.35456,0.385211,37589.6,1,0.263374,22694.7
cuda_optimized,instance_medium,4096,1000,42,512,200,925.58,250.627,5.95098,0.314336,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,512,200,909.024,231.715,5.48867,0.29936,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,512,200,905.92,231.671,5.72502,0.335968,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,512,200,910.164,231.136,5.71942,0.298592,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,512,200,905.949,230.836,5.70464,0.35808,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,512,200,907.341,231.495,5.78157,0.296704,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,512,200,910.9,231.066,5.74266,0.350208,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,512,200,908.099,231.545,5.74918,0.336736,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,512,200,910.141,231.678,5.68506,0.361376,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,512,200,906.765,230.094,5.73658,0.287968,0.385211,37589.6,1,0.263374,22694.7
