instance,variant,threads,seed,generations,best_fitness,best_value,best_feasible_fitness,best_feasible_value,feasible,time_ms,best_feasible_items,best_feasible_weight,best_feasible_volume
data/instance_small,sequential,1,42,148,0.39803,3766.28,0.276941,2246.72,1,430.812,38,997.53,763.81
data/instance_small,sequential,1,123,139,0.398401,3668.92,0.270862,2197.51,1,406.705,38,989.66,762.67
data/instance_small,sequential,1,256,138,0.398401,3668.92,0.252472,2043.79,1,396.973,38,954.37,744.88
data/instance_small,sequential,1,512,166,0.398401,3668.92,0.269261,2187.79,1,476.997,37,961.28,711.07
data/instance_small,sequential,1,999,157,0.398401,3668.92,0.255852,2077.62,1,445.892,40,950.04,732.94
data/instance_small,sequential,1,1337,120,0.398401,3668.92,0.270171,2191.92,1,343.311,39,909.53,785.39
data/instance_small,sequential,1,2048,138,0.398401,3668.92,0.254683,2066.54,1,397.559,40,1006.68,772.81
data/instance_small,sequential,1,3141,160,0.398401,3668.92,0.2581,2097.44,1,460.751,40,1009.54,782.25
data/instance_small,sequential,1,4096,107,0.397964,3645.83,0.26037,2114.2,1,305.738,39,958.61,767.53
data/instance_small,sequential,1,5000,137,0.39803,3766.28,0.277734,2253.14,1,391.263,41,949.18,741
data/instance_small,sequential,1,6789,133,0.398401,3668.92,0.268008,2172.79,1,394.575,38,960.12,775.17
data/instance_small,sequential,1,7654,132,0.39803,3766.28,0.265319,2155.88,1,377.026,39,835.59,798.28
data/instance_small,sequential,1,8192,171,0.39803,3766.28,0.274774,2234.04,1,514.622,41,1007.83,780.38
data/instance_small,sequential,1,9001,131,0.398401,3668.92,0.334776,2721.38,1,375.085,44,1010.19,804.26
data/instance_small,sequential,1,9999,139,0.39803,3766.28,0.266547,2165.82,1,401.856,40,997.85,770.79
data/instance_small,parallel,1,42,143,0.39803,3766.28,0.261808,2127.46,1,411.98,37,956.29,777.91
data/instance_small,parallel,1,123,133,0.39803,3766.28,0.270862,2197.51,1,380.782,38,989.66,762.67
data/instance_small,parallel,1,256,120,0.398401,3668.92,0.252472,2043.79,1,344.613,38,954.37,744.88
data/instance_small,parallel,1,512,140,0.398401,3668.92,0.272998,2221.28,1,402.718,41,976.32,779.55
data/instance_small,parallel,1,999,139,0.398401,3668.92,0.255852,2077.62,1,397.856,40,950.04,732.94
data/instance_small,parallel,1,1337,134,0.398401,3668.92,0.258474,2098.85,1,383.818,38,988.85,723.38
data/instance_small,parallel,1,2048,126,0.398401,3668.92,0.255168,2076.94,1,359.664,39,974.9,680.87
data/instance_small,parallel,1,3141,138,0.39803,3766.28,0.2581,2097.44,1,396.911,40,1009.54,782.25
data/instance_small,parallel,1,4096,112,0.39803,3766.28,0.253323,2065.25,1,319.572,43,935.12,771.71
data/instance_small,parallel,1,5000,151,0.398401,3668.92,0.267763,2169.19,1,432.992,37,849.91,749.13
data/instance_small,parallel,1,6789,138,0.39803,3766.28,0.268008,2172.79,1,394.993,38,960.12,775.17
data/instance_small,parallel,1,7654,124,0.398401,3668.92,0.265319,2155.88,1,357.282,39,835.59,798.28
data/instance_small,parallel,1,8192,153,0.398401,3668.92,0.266095,2160.54,1,437.777,40,978.05,801.91
data/instance_small,parallel,1,9001,139,0.39803,3766.28,0.267298,2170.28,1,403.343,40,956.32,799.96
data/instance_small,parallel,1,9999,120,0.398401,3668.92,0.313606,2548.39,1,347.116,41,1003.18,780.66
data/instance_small,parallel,2,42,139,0.39803,3766.28,0.263151,2139.95,1,214.57,38,971.66,803.43
data/instance_small,parallel,2,123,125,0.39803,3766.28,0.273059,2210.44,1,200.283,38,873.62,718.72
data/instance_small,parallel,2,256,125,0.398401,3668.92,0.265116,2147.76,1,193.868,40,997.81,791.59
data/instance_small,parallel,2,512,143,0.39803,3766.28,0.262966,2140.07,1,220.634,40,932.98,746.93
data/instance_small,parallel,2,999,153,0.39803,3766.28,0.255852,2077.62,1,238.053,40,950.04,732.94
data/instance_small,parallel,2,1337,137,0.39803,3766.28,0.283814,2303.98,1,236.342,39,927.6,800.93
data/instance_small,parallel,2,2048,118,0.398401,3668.92,0.253475,2055.14,1,182.642,39,834.33,797.09
data/instance_small,parallel,2,3141,117,0.39803,3766.28,0.2581,2097.44,1,184.387,40,1009.54,782.25
data/instance_small,parallel,2,4096,168,0.398401,3668.92,0.252031,2049.93,1,272.522,38,1006.67,730.41
data/instance_small,parallel,2,5000,177,0.398401,3668.92,0.267158,2167.53,1,273.19,38,939.79,747.22
data/instance_small,parallel,2,6789,126,0.398401,3668.92,0.268008,2172.79,1,191.375,38,960.12,775.17
data/instance_small,parallel,2,7654,112,0.398401,3668.92,0.265319,2155.88,1,172.602,39,835.59,798.28
data/instance_small,parallel,2,8192,149,0.398401,3668.92,0.260403,2116.08,1,231.735,38,874.21,729.35
data/instance_small,parallel,2,9001,128,0.398401,3668.92,0.269359,2191.82,1,199.617,42,1000.21,800.49
data/instance_small,parallel,2,9999,140,0.398401,3668.92,0.266391,2164.56,1,216.733,41,1007.44,757.4
data/instance_small,parallel,4,42,127,0.39803,3766.28,0.261808,2127.46,1,123.173,37,956.29,777.91
data/instance_small,parallel,4,123,145,0.39803,3766.28,0.270862,2197.51,1,125.047,38,989.66,762.67
data/instance_small,parallel,4,256,139,0.39803,3766.28,0.254981,2068.95,1,129.086,39,1008.43,710.95
data/instance_small,parallel,4,512,149,0.398401,3668.92,0.267786,2179.09,1,142.796,42,984.7,772.9
data/instance_small,parallel,4,999,134,0.398401,3668.92,0.271408,2203.55,1,118.235,41,977.13,776.33
data/instance_small,parallel,4,1337,160,0.398401,3668.92,0.260421,2114.61,1,137.485,40,1000.8,759.39
data/instance_small,parallel,4,2048,110,0.398401,3668.92,0.26296,2130.31,1,95.8165,37,1000.62,785.11
data/instance_small,parallel,4,3141,129,0.39803,3766.28,0.2581,2097.44,1,112.552,40,1009.54,782.25
data/instance_small,parallel,4,4096,139,0.39803,3766.28,0.251701,2050.5,1,119.646,39,1017.09,711.12
data/instance_small,parallel,4,5000,107,0.39803,3766.28,0.256483,2081.11,1,91.3854,38,923.23,726.48
data/instance_small,parallel,4,6789,149,0.39803,3766.28,0.271717,2212.53,1,128.767,42,988.34,755.08
data/instance_small,parallel,4,7654,130,0.398401,3668.92,0.276234,2244.24,1,112.426,40,902.45,801.52
data/instance_small,parallel,4,8192,149,0.398401,3668.92,0.262688,2134.58,1,129.566,38,982.24,751.96
data/instance_small,parallel,4,9001,114,0.39803,3766.28,0.267298,2170.28,1,101.97,40,956.32,799.96
data/instance_small,parallel,4,9999,144,0.398401,3668.92,0.262794,2133.82,1,124.086,40,912.82,799.3
data/instance_small,parallel,8,42,114,0.39803,3766.28,0.266793,2167.81,1,72.2218,38,951.28,803.57
data/instance_small,parallel,8,123,135,0.398401,3668.92,0.297582,2415.43,1,84.8764,41,971.72,791.47
data/instance_small,parallel,8,256,107,0.39803,3766.28,0.258639,2103.42,1,67.7423,38,1001,788.89
data/instance_small,parallel,8,512,133,0.39803,3766.28,0.262966,2140.07,1,84.017,40,932.98,746.93
data/instance_small,parallel,8,999,139,0.398401,3668.92,0.272522,2215.81,1,87.3596,41,1015.86,711.83
data/instance_small,parallel,8,1337,136,0.39803,3766.28,0.258474,2098.85,1,82.8266,38,988.85,723.38
data/instance_small,parallel,8,2048,122,0.39803,3766.28,0.269866,2191.07,1,76.8996,40,977.1,721.09
data/instance_small,parallel,8,3141,129,0.39803,3766.28,0.267244,2169.84,1,80.9736,40,909.48,758.1
data/instance_small,parallel,8,4096,123,0.398401,3668.92,0.251701,2050.5,1,76.537,39,1017.09,711.12
data/instance_small,parallel,8,5000,139,0.398401,3668.92,0.261076,2118.29,1,86.909,40,896.35,777.87
data/instance_small,parallel,8,6789,195,0.398401,3668.92,0.272884,2213.88,1,119.683,39,978.71,789.58
data/instance_small,parallel,8,7654,143,0.39803,3766.28,0.265319,2155.88,1,89.2422,39,835.59,798.28
data/instance_small,parallel,8,8192,144,0.39803,3766.28,0.258862,2103.61,1,89.2194,38,1008.04,739.53
data/instance_small,parallel,8,9001,153,0.398401,3668.92,0.27122,2205.27,1,96.34,41,927.71,800.6
data/instance_small,parallel,8,9999,164,0.398401,3668.92,0.262794,2133.82,1,101.965,40,912.82,799.3
data/instance_small,islands,1,42,200,0.39803,3766.28,0.276941,2246.72,1,587.955,38,997.53,763.81
data/instance_small,islands,1,123,200,0.398401,3668.92,0.270862,2197.51,1,596.61,38,989.66,762.67
data/instance_small,islands,1,256,200,0.398401,3668.92,0.252472,2043.79,1,589.161,38,954.37,744.88
data/instance_small,islands,1,512,200,0.398401,3668.92,0.269261,2187.79,1,592.849,37,961.28,711.07
data/instance_small,islands,1,999,200,0.39803,3766.28,0.255852,2077.62,1,592.312,40,950.04,732.94
data/instance_small,islands,1,1337,200,0.398401,3668.92,0.270171,2191.92,1,586.48,39,909.53,785.39
data/instance_small,islands,1,2048,200,0.398401,3668.92,0.254683,2066.54,1,590.947,40,1006.68,772.81
data/instance_small,islands,1,3141,200,0.398401,3668.92,0.2581,2097.44,1,590.395,40,1009.54,782.25
data/instance_small,islands,1,4096,200,0.398401,3668.92,0.26037,2114.2,1,599.027,39,958.61,767.53
data/instance_small,islands,1,5000,200,0.398401,3668.92,0.277734,2253.14,1,602.296,41,949.18,741
data/instance_small,islands,1,6789,200,0.398401,3668.92,0.268008,2172.79,1,598.268,38,960.12,775.17
data/instance_small,islands,1,7654,200,0.39803,3766.28,0.265319,2155.88,1,591.3,39,835.59,798.28
data/instance_small,islands,1,8192,200,0.398401,3668.92,0.274774,2234.04,1,590.916,41,1007.83,780.38
data/instance_small,islands,1,9001,200,0.398401,3668.92,0.334776,2721.38,1,587.099,44,1010.19,804.26
data/instance_small,islands,1,9999,200,0.398401,3668.92,0.266547,2165.82,1,600.969,40,997.85,770.79
data/instance_small,islands,2,42,200,0.39803,3766.28,0.276941,2246.72,1,607.74,38,997.53,763.81
data/instance_small,islands,2,123,200,0.398401,3668.92,0.283726,2303.27,1,611.471,40,1004.95,747.71
data/instance_small,islands,2,256,200,0.398401,3668.92,0.278191,2261.7,1,612.331,42,998.05,794.82
data/instance_small,islands,2,512,200,0.398401,3668.92,0.269261,2187.79,1,619.1,37,961.28,711.07
data/instance_small,islands,2,999,200,0.398401,3668.92,0.283356,2301.89,1,610.506,37,976.14,728.48
data/instance_small,islands,2,1337,200,0.398401,3668.92,0.270171,2191.92,1,608.016,39,909.53,785.39
data/instance_small,islands,2,2048,200,0.398401,3668.92,0.262616,2132.38,1,611.273,41,1024.69,778.1
data/instance_small,islands,2,3141,200,0.398401,3668.92,0.266132,2160.84,1,609.928,38,891.03,779.89
data/instance_small,islands,2,4096,200,0.398401,3668.92,0.268936,2181.92,1,616.722,41,1019.67,735.94
data/instance_small,islands,2,5000,200,0.39803,3766.28,0.284245,2305.85,1,610.938,41,1011.94,697.31
data/instance_small,islands,2,6789,200,0.398401,3668.92,0.268719,2183.4,1,614.519,39,1016.57,805.1
data/instance_small,islands,2,7654,200,0.398401,3668.92,0.308368,2505.98,1,609.139,44,1007.69,792.74
data/instance_small,islands,2,8192,200,0.398401,3668.92,0.274774,2234.04,1,612.543,41,1007.83,780.38
data/instance_small,islands,2,9001,200,0.398401,3668.92,0.334776,2721.38,1,614.071,44,1010.19,804.26
data/instance_small,islands,2,9999,200,0.398401,3668.92,0.266547,2165.82,1,613.476,40,997.85,770.79
data/instance_small,islands,4,42,200,0.398401,3668.92,0.276941,2246.72,1,662.623,38,997.53,763.81
data/instance_small,islands,4,123,200,0.398401,3668.92,0.284791,2311.89,1,668.304,41,976.69,802.47
data/instance_small,islands,4,256,200,0.398401,3668.92,0.278191,2261.7,1,655.796,42,998.05,794.82
data/instance_small,islands,4,512,200,0.398401,3668.92,0.270071,2192.73,1,649.674,39,961.64,789.07
data/instance_small,islands,4,999,200,0.398401,3668.92,0.294494,2387.2,1,656.827,39,1014.19,790.79
data/instance_small,islands,4,1337,200,0.398401,3668.92,0.270171,2191.92,1,648.683,39,909.53,785.39
data/instance_small,islands,4,2048,200,0.398401,3668.92,0.262616,2132.38,1,682.566,41,1024.69,778.1
data/instance_small,islands,4,3141,200,0.398401,3668.92,0.277199,2250.43,1,651.819,41,992.37,777.76
data/instance_small,islands,4,4096,200,0.398401,3668.92,0.27904,2266.95,1,655.928,41,1017.3,783.26
data/instance_small,islands,4,5000,200,0.398401,3668.92,0.284245,2305.85,1,656.432,41,1011.94,697.31
data/instance_small,islands,4,6789,200,0.398401,3668.92,0.286616,2325.04,1,656.173,41,992.53,766.1
data/instance_small,islands,4,7654,200,0.398401,3668.92,0.308368,2505.98,1,662.365,44,1007.69,792.74
data/instance_small,islands,4,8192,200,0.398401,3668.92,0.274774,2234.04,1,659.528,41,1007.83,780.38
data/instance_small,islands,4,9001,200,0.398401,3668.92,0.334776,2721.38,1,656.953,44,1010.19,804.26
data/instance_small,islands,4,9999,200,0.398401,3668.92,0.273262,2215.32,1,654.225,40,1015.77,789.75
data/instance_small,islands,8,42,200,0.398401,3668.92,0.276941,2246.72,1,900.13,38,997.53,763.81
data/instance_small,islands,8,123,200,0.398401,3668.92,0.284791,2311.89,1,895.461,41,976.69,802.47
data/instance_small,islands,8,256,200,0.398401,3668.92,0.279425,2266.83,1,892.226,38,926.51,754.94
data/instance_small,islands,8,512,200,0.398401,3668.92,0.27264,2216.76,1,897.899,42,952.17,786.86
data/instance_small,islands,8,999,200,0.398401,3668.92,0.294494,2387.2,1,895.678,39,1014.19,790.79
data/instance_small,islands,8,1337,200,0.398401,3668.92,0.276979,2248.65,1,896.329,42,994.38,727.66
data/instance_small,islands,8,2048,200,0.398401,3668.92,0.298993,2431.71,1,897.336,45,997.04,801.32
data/instance_small,islands,8,3141,200,0.398401,3668.92,0.287027,2331.61,1,903.483,40,975.69,734.78
data/instance_small,islands,8,4096,200,0.398401,3668.92,0.280692,2281.94,1,914.502,42,1025.55,757.44
data/instance_small,islands,8,5000,200,0.398401,3668.92,0.288546,2343.9,1,911.862,40,995.41,797.17
data/instance_small,islands,8,6789,200,0.398401,3668.92,0.286616,2325.04,1,908.493,41,992.53,766.1
data/instance_small,islands,8,7654,200,0.398401,3668.92,0.308368,2505.98,1,900.475,44,1007.69,792.74
data/instance_small,islands,8,8192,200,0.398401,3668.92,0.280503,2275.56,1,900.198,39,1013.27,738.97
data/instance_small,islands,8,9001,200,0.398401,3668.92,0.334776,2721.38,1,891.967,44,1010.19,804.26
data/instance_small,islands,8,9999,200,0.398401,3668.92,0.304527,2471.65,1,897.104,43,950.13,779.64
data/instance_medium,sequential,1,42,200,0.329039,34543.7,0.254379,21897.1,1,4938.96,401,10597.5,8172.79
data/instance_medium,sequential,1,123,200,0.32905,34088,0.251467,21662.2,1,4894.02,407,10598.7,8245.96
data/instance_medium,sequential,1,256,200,0.325821,35076.5,0.251232,21643.7,1,4953.09,405,10526.6,8225.64
data/instance_medium,sequential,1,512,200,0.325223,34053,0.25568,22012.5,1,4877.6,400,10417.8,8249.58
data/instance_medium,sequential,1,999,200,0.328826,34288,0.251006,21605.4,1,4923.32,403,10593.6,8168.08
data/instance_medium,sequential,1,1337,200,0.3288,35216.5,0.249438,21479.1,1,4917.8,409,10545.4,8236.78
data/instance_medium,sequential,1,2048,200,0.326081,33327.8,0.249932,21525.1,1,4940.59,408,10502.8,8233.91
data/instance_medium,sequential,1,3141,200,0.330282,34094.7,0.249924,21520.9,1,4889.71,401,10603.8,8164.26
data/instance_medium,sequential,1,4096,200,0.328882,34362.1,0.251962,21680.7,1,4895.4,395,10591.4,7910.58
data/instance_medium,sequential,1,5000,200,0.328846,34054,0.252224,21718.7,1,4883.77,400,10322.3,8243.16
data/instance_medium,sequential,1,6789,200,0.328826,34740.4,0.249858,21508.4,1,4932.34,404,10588.3,8148.12
data/instance_medium,sequential,1,7654,200,0.325567,34195.8,0.255816,22025.9,1,5058.84,403,10437,8222.53
data/instance_medium,sequential,1,8192,200,0.3268,32983.1,0.251229,21631.4,1,4983.8,405,10331.4,8248.27
