instance,variant,threads,seed,generations,best_fitness,best_value,best_feasible_fitness,best_feasible_value,feasible,time_ms,best_feasible_items,best_feasible_weight,best_feasible_volume
data/instance_small,sequential,1,42,148,0.39803,3766.28,0.276941,2246.72,1,397.996,38,997.53,763.81
data/instance_small,sequential,1,123,139,0.398401,3668.92,0.270862,2197.51,1,366.219,38,989.66,762.67
data/instance_small,sequential,1,256,138,0.398401,3668.92,0.252472,2043.79,1,355.507,38,954.37,744.88
data/instance_small,sequential,1,512,166,0.398401,3668.92,0.269261,2187.79,1,430.213,37,961.28,711.07
data/instance_small,sequential,1,999,157,0.398401,3668.92,0.255852,2077.62,1,401.647,40,950.04,732.94
data/instance_small,sequential,1,1337,120,0.398401,3668.92,0.270171,2191.92,1,309.19,39,909.53,785.39
data/instance_small,sequential,1,2048,138,0.398401,3668.92,0.254683,2066.54,1,356.005,40,1006.68,772.81
data/instance_small,sequential,1,3141,160,0.398401,3668.92,0.2581,2097.44,1,413.771,40,1009.54,782.25
data/instance_small,sequential,1,4096,107,0.397964,3645.83,0.26037,2114.2,1,278.709,39,958.61,767.53
data/instance_small,sequential,1,5000,137,0.39803,3766.28,0.277734,2253.14,1,358.507,41,949.18,741
data/instance_small,sequential,1,6789,133,0.398401,3668.92,0.268008,2172.79,1,353.222,38,960.12,775.17
data/instance_small,sequential,1,7654,132,0.39803,3766.28,0.265319,2155.88,1,343.087,39,835.59,798.28
data/instance_small,sequential,1,8192,171,0.39803,3766.28,0.274774,2234.04,1,442.254,41,1007.83,780.38
data/instance_small,sequential,1,9001,131,0.398401,3668.92,0.334776,2721.38,1,342.759,44,1010.19,804.26
data/instance_small,sequential,1,9999,139,0.39803,3766.28,0.266547,2165.82,1,388.074,40,997.85,770.79
data/instance_small,parallel,1,42,143,0.39803,3766.28,0.261808,2127.46,1,376.886,37,956.29,777.91
data/instance_small,parallel,1,123,133,0.39803,3766.28,0.270862,2197.51,1,346.76,38,989.66,762.67
data/instance_small,parallel,1,256,120,0.398401,3668.92,0.252472,2043.79,1,311.131,38,954.37,744.88
data/instance_small,parallel,1,512,140,0.398401,3668.92,0.272998,2221.28,1,364.773,41,976.32,779.55
data/instance_small,parallel,1,999,139,0.398401,3668.92,0.255852,2077.62,1,361.255,40,950.04,732.94
data/instance_small,parallel,1,1337,134,0.398401,3668.92,0.258474,2098.85,1,346.596,38,988.85,723.38
data/instance_small,parallel,1,2048,126,0.398401,3668.92,0.255168,2076.94,1,328.07,39,974.9,680.87
data/instance_small,parallel,1,3141,138,0.39803,3766.28,0.2581,2097.44,1,377.524,40,1009.54,782.25
data/instance_small,parallel,1,4096,112,0.39803,3766.28,0.253323,2065.25,1,291.304,43,935.12,771.71
data/instance_small,parallel,1,5000,151,0.398401,3668.92,0.267763,2169.19,1,397.212,37,849.91,749.13
data/instance_small,parallel,1,6789,138,0.39803,3766.28,0.268008,2172.79,1,359.999,38,960.12,775.17
data/instance_small,parallel,1,7654,124,0.398401,3668.92,0.265319,2155.88,1,320.132,39,835.59,798.28
data/instance_small,parallel,1,8192,153,0.398401,3668.92,0.266095,2160.54,1,405.749,40,978.05,801.91
data/instance_small,parallel,1,9001,139,0.39803,3766.28,0.267298,2170.28,1,363.308,40,956.32,799.96
data/instance_small,parallel,1,9999,120,0.398401,3668.92,0.313606,2548.39,1,309.831,41,1003.18,780.66
data/instance_small,parallel,2,42,139,0.39803,3766.28,0.263151,2139.95,1,191.893,38,971.66,803.43
data/instance_small,parallel,2,123,125,0.39803,3766.28,0.273059,2210.44,1,172.787,38,873.62,718.72
data/instance_small,parallel,2,256,125,0.398401,3668.92,0.265116,2147.76,1,170.447,40,997.81,791.59
data/instance_small,parallel,2,512,143,0.39803,3766.28,0.262966,2140.07,1,196.745,40,932.98,746.93
data/instance_small,parallel,2,999,153,0.39803,3766.28,0.255852,2077.62,1,211.141,40,950.04,732.94
data/instance_small,parallel,2,1337,137,0.39803,3766.28,0.283814,2303.98,1,189.603,39,927.6,800.93
data/instance_small,parallel,2,2048,118,0.398401,3668.92,0.253475,2055.14,1,167.262,39,834.33,797.09
data/instance_small,parallel,2,3141,117,0.39803,3766.28,0.2581,2097.44,1,165.225,40,1009.54,782.25
data/instance_small,parallel,2,4096,168,0.398401,3668.92,0.252031,2049.93,1,229.386,38,1006.67,730.41
data/instance_small,parallel,2,5000,177,0.398401,3668.92,0.267158,2167.53,1,240.842,38,939.79,747.22
data/instance_small,parallel,2,6789,126,0.398401,3668.92,0.268008,2172.79,1,174.925,38,960.12,775.17
data/instance_small,parallel,2,7654,112,0.398401,3668.92,0.265319,2155.88,1,152.045,39,835.59,798.28
data/instance_small,parallel,2,8192,149,0.398401,3668.92,0.260403,2116.08,1,206.738,38,874.21,729.35
data/instance_small,parallel,2,9001,128,0.398401,3668.92,0.269359,2191.82,1,177.069,42,1000.21,800.49
data/instance_small,parallel,2,9999,140,0.398401,3668.92,0.266391,2164.56,1,190.219,41,1007.44,757.4
data/instance_small,parallel,4,42,127,0.39803,3766.28,0.261808,2127.46,1,99.4427,37,956.29,777.91
data/instance_small,parallel,4,123,145,0.39803,3766.28,0.270862,2197.51,1,109.982,38,989.66,762.67
data/instance_small,parallel,4,256,139,0.39803,3766.28,0.254981,2068.95,1,106.18,39,1008.43,710.95
data/instance_small,parallel,4,512,149,0.398401,3668.92,0.267786,2179.09,1,113.657,42,984.7,772.9
data/instance_small,parallel,4,999,134,0.398401,3668.92,0.271408,2203.55,1,103,41,977.13,776.33
data/instance_small,parallel,4,1337,160,0.398401,3668.92,0.260421,2114.61,1,122.09,40,1000.8,759.39
data/instance_small,parallel,4,2048,110,0.398401,3668.92,0.26296,2130.31,1,85.3716,37,1000.62,785.11
data/instance_small,parallel,4,3141,129,0.39803,3766.28,0.2581,2097.44,1,98.6693,40,1009.54,782.25
data/instance_small,parallel,4,4096,139,0.39803,3766.28,0.251701,2050.5,1,108.02,39,1017.09,711.12
data/instance_small,parallel,4,5000,107,0.39803,3766.28,0.256483,2081.11,1,83.033,38,923.23,726.48
data/instance_small,parallel,4,6789,149,0.39803,3766.28,0.271717,2212.53,1,112.109,42,988.34,755.08
data/instance_small,parallel,4,7654,130,0.398401,3668.92,0.276234,2244.24,1,102.082,40,902.45,801.52
data/instance_small,parallel,4,8192,149,0.398401,3668.92,0.262688,2134.58,1,113.238,38,982.24,751.96
data/instance_small,parallel,4,9001,114,0.39803,3766.28,0.267298,2170.28,1,85.1127,40,956.32,799.96
data/instance_small,parallel,4,9999,144,0.398401,3668.92,0.262794,2133.82,1,106.664,40,912.82,799.3
data/instance_small,parallel,8,42,114,0.39803,3766.28,0.266793,2167.81,1,50.1651,38,951.28,803.57
data/instance_small,parallel,8,123,135,0.398401,3668.92,0.297582,2415.43,1,61.5779,41,971.72,791.47
data/instance_small,parallel,8,256,107,0.39803,3766.28,0.258639,2103.42,1,49.1124,38,1001,788.89
data/instance_small,parallel,8,512,133,0.39803,3766.28,0.262966,2140.07,1,59.4131,40,932.98,746.93
data/instance_small,parallel,8,999,139,0.398401,3668.92,0.272522,2215.81,1,61.6644,41,1015.86,711.83
data/instance_small,parallel,8,1337,136,0.39803,3766.28,0.258474,2098.85,1,60.4607,38,988.85,723.38
data/instance_small,parallel,8,2048,122,0.39803,3766.28,0.269866,2191.07,1,53.2315,40,977.1,721.09
data/instance_small,parallel,8,3141,129,0.39803,3766.28,0.267244,2169.84,1,57.5915,40,909.48,758.1
data/instance_small,parallel,8,4096,123,0.398401,3668.92,0.251701,2050.5,1,53.964,39,1017.09,711.12
data/instance_small,parallel,8,5000,139,0.398401,3668.92,0.261076,2118.29,1,61.8916,40,896.35,777.87
data/instance_small,parallel,8,6789,195,0.398401,3668.92,0.272884,2213.88,1,91.5046,39,978.71,789.58
data/instance_small,parallel,8,7654,143,0.39803,3766.28,0.265319,2155.88,1,63.7818,39,835.59,798.28
data/instance_small,parallel,8,8192,144,0.39803,3766.28,0.258862,2103.61,1,62.9354,38,1008.04,739.53
data/instance_small,parallel,8,9001,153,0.398401,3668.92,0.27122,2205.27,1,68.419,41,927.71,800.6
data/instance_small,parallel,8,9999,164,0.398401,3668.92,0.262794,2133.82,1,72.8332,40,912.82,799.3
data/instance_small,islands,1,42,200,0.39803,3766.28,0.276941,2246.72,1,538.879,38,997.53,763.81
data/instance_small,islands,1,123,200,0.398401,3668.92,0.270862,2197.51,1,530.903,38,989.66,762.67
data/instance_small,islands,1,256,200,0.398401,3668.92,0.252472,2043.79,1,532.299,38,954.37,744.88
data/instance_small,islands,1,512,200,0.398401,3668.92,0.269261,2187.79,1,534.201,37,961.28,711.07
data/instance_small,islands,1,999,200,0.39803,3766.28,0.255852,2077.62,1,529.931,40,950.04,732.94
data/instance_small,islands,1,1337,200,0.398401,3668.92,0.270171,2191.92,1,530.775,39,909.53,785.39
data/instance_small,islands,1,2048,200,0.398401,3668.92,0.254683,2066.54,1,531.079,40,1006.68,772.81
data/instance_small,islands,1,3141,200,0.398401,3668.92,0.2581,2097.44,1,530.667,40,1009.54,782.25
data/instance_small,islands,1,4096,200,0.398401,3668.92,0.26037,2114.2,1,531.022,39,958.61,767.53
data/instance_small,islands,1,5000,200,0.398401,3668.92,0.277734,2253.14,1,532.102,41,949.18,741
data/instance_small,islands,1,6789,200,0.398401,3668.92,0.268008,2172.79,1,531.901,38,960.12,775.17
data/instance_small,islands,1,7654,200,0.39803,3766.28,0.265319,2155.88,1,532.574,39,835.59,798.28
data/instance_small,islands,1,8192,200,0.398401,3668.92,0.274774,2234.04,1,531.446,41,1007.83,780.38
data/instance_small,islands,1,9001,200,0.398401,3668.92,0.334776,2721.38,1,532.101,44,1010.19,804.26
data/instance_small,islands,1,9999,200,0.398401,3668.92,0.266547,2165.82,1,532.348,40,997.85,770.79
data/instance_small,islands,2,42,200,0.39803,3766.28,0.276941,2246.72,1,559.679,38,997.53,763.81
data/instance_small,islands,2,123,200,0.398401,3668.92,0.283726,2303.27,1,583.713,40,1004.95,747.71
data/instance_small,islands,2,256,200,0.398401,3668.92,0.278191,2261.7,1,552.831,42,998.05,794.82
data/instance_small,islands,2,512,200,0.398401,3668.92,0.269261,2187.79,1,548.866,37,961.28,711.07
data/instance_small,islands,2,999,200,0.398401,3668.92,0.283356,2301.89,1,551.845,37,976.14,728.48
data/instance_small,islands,2,1337,200,0.398401,3668.92,0.270171,2191.92,1,549.336,39,909.53,785.39
data/instance_small,islands,2,2048,200,0.398401,3668.92,0.262616,2132.38,1,551.217,41,1024.69,778.1
data/instance_small,islands,2,3141,200,0.398401,3668.92,0.266132,2160.84,1,550.114,38,891.03,779.89
data/instance_small,islands,2,4096,200,0.398401,3668.92,0.268936,2181.92,1,549.268,41,1019.67,735.94
data/instance_small,islands,2,5000,200,0.39803,3766.28,0.284245,2305.85,1,562.315,41,1011.94,697.31
data/instance_small,islands,2,6789,200,0.398401,3668.92,0.268719,2183.4,1,551.378,39,1016.57,805.1
data/instance_small,islands,2,7654,200,0.398401,3668.92,0.308368,2505.98,1,552.58,44,1007.69,792.74
data/instance_small,islands,2,8192,200,0.398401,3668.92,0.274774,2234.04,1,554.394,41,1007.83,780.38
data/instance_small,islands,2,9001,200,0.398401,3668.92,0.334776,2721.38,1,552.32,44,1010.19,804.26
data/instance_small,islands,2,9999,200,0.398401,3668.92,0.266547,2165.82,1,555.004,40,997.85,770.79
data/instance_small,islands,4,42,200,0.398401,3668.92,0.276941,2246.72,1,604.768,38,997.53,763.81
data/instance_small,islands,4,123,200,0.398401,3668.92,0.284791,2311.89,1,596.827,41,976.69,802.47
data/instance_small,islands,4,256,200,0.398401,3668.92,0.278191,2261.7,1,596.645,42,998.05,794.82
data/instance_small,islands,4,512,200,0.398401,3668.92,0.270071,2192.73,1,602.232,39,961.64,789.07
data/instance_small,islands,4,999,200,0.398401,3668.92,0.294494,2387.2,1,625.016,39,1014.19,790.79
data/instance_small,islands,4,1337,200,0.398401,3668.92,0.270171,2191.92,1,598.953,39,909.53,785.39
data/instance_small,islands,4,2048,200,0.398401,3668.92,0.262616,2132.38,1,599.719,41,1024.69,778.1
data/instance_small,islands,4,3141,200,0.398401,3668.92,0.277199,2250.43,1,599.534,41,992.37,777.76
data/instance_small,islands,4,4096,200,0.398401,3668.92,0.27904,2266.95,1,586.887,41,1017.3,783.26
data/instance_small,islands,4,5000,200,0.398401,3668.92,0.284245,2305.85,1,587.785,41,1011.94,697.31
data/instance_small,islands,4,6789,200,0.398401,3668.92,0.286616,2325.04,1,598.491,41,992.53,766.1
data/instance_small,islands,4,7654,200,0.398401,3668.92,0.308368,2505.98,1,598.161,44,1007.69,792.74
data/instance_small,islands,4,8192,200,0.398401,3668.92,0.274774,2234.04,1,597.098,41,1007.83,780.38
