instance,variant,threads,seed,generations,best_fitness,best_value,best_feasible_fitness,best_feasible_value,feasible,time_ms
data/instance_small,sequential,1,42,168,3035.7,3062.7,3035.7,3062.7,1,649.474
data/instance_small,sequential,1,123,123,2955.88,2979.88,2955.88,2979.88,1,398.853
data/instance_small,sequential,1,256,112,2954.9,3076.75,2833.72,2851.72,1,333.5
data/instance_small,sequential,1,512,200,2968.01,3035.01,2956.31,2980.31,1,594.991
data/instance_small,sequential,1,999,149,3041.4,3074.4,3041.4,3074.4,1,471.769
data/instance_small,sequential,1,1337,200,3063.86,3113.01,3053.95,3089.95,1,573.718
data/instance_small,sequential,1,2048,200,3001.94,3068.94,2982.12,3012.12,1,587.606
data/instance_small,sequential,1,3141,178,3088.94,3115.94,3088.94,3115.94,1,531.515
data/instance_small,sequential,1,4096,154,3024.37,3105.6,2989.99,3022.99,1,450.019
data/instance_small,sequential,1,5000,124,2995.42,3019.42,2995.42,3019.42,1,417.579
data/instance_small,sequential,1,6789,158,3012.26,3042.26,3012.26,3042.26,1,465.369
data/instance_small,sequential,1,7654,200,3038.39,3111.13,3019.46,3046.46,1,577.691
data/instance_small,sequential,1,8192,200,2980.1,3047.1,2968.77,2992.77,1,617.559
data/instance_small,sequential,1,9001,142,3023.33,3056.33,3023.33,3056.33,1,459.713
data/instance_small,sequential,1,9999,191,3046.33,3119.52,3045.89,3072.89,1,583.794
data/instance_small,parallel,1,42,121,2948.2,2975.2,2948.2,2975.2,1,366.22
data/instance_small,parallel,1,123,200,3008.42,3081.42,2987.94,3017.94,1,577.349
data/instance_small,parallel,1,256,173,3042.34,3075.34,3042.34,3075.34,1,554.298
data/instance_small,parallel,1,512,165,3015.53,3106.59,2976.55,3003.55,1,520.978
data/instance_small,parallel,1,999,200,3058.15,3085.15,3058.15,3085.15,1,574.447
data/instance_small,parallel,1,1337,151,2993.86,3024.41,2991.95,3018.95,1,439.839
data/instance_small,parallel,1,2048,146,3033.71,3066.71,3033.71,3066.71,1,430.942
data/instance_small,parallel,1,3141,200,2995.49,3108,2943.95,2973.95,1,589.643
data/instance_small,parallel,1,4096,148,3016.98,3126.98,3010.61,3034.61,1,457.711
data/instance_small,parallel,1,5000,176,3017.01,3044.01,3017.01,3044.01,1,514.932
data/instance_small,parallel,1,6789,162,3035.37,3111.37,3010.99,3043.99,1,486.429
data/instance_small,parallel,1,7654,200,3040.15,3116.15,3020.94,3050.94,1,615.155
data/instance_small,parallel,1,8192,162,3011.26,3041.26,3011.26,3041.26,1,470.113
data/instance_small,parallel,1,9001,161,3029.58,3182.58,3014.52,3041.52,1,490.913
data/instance_small,parallel,1,9999,142,2972.35,3036.86,2947.98,2968.98,1,420.101
data/instance_small,parallel,2,42,180,3030.46,3060.46,3030.46,3060.46,1,348.465
data/instance_small,parallel,2,123,199,2965.13,3118.13,2944.32,2971.32,1,320.124
data/instance_small,parallel,2,256,189,3080.76,3121.35,3077.81,3104.81,1,382.063
data/instance_small,parallel,2,512,200,3014.04,3044.04,3014.04,3044.04,1,367.553
data/instance_small,parallel,2,999,120,2972.67,3079.67,2821.91,2839.91,1,200.39
data/instance_small,parallel,2,1337,164,3048.21,3124.21,3018.97,3051.97,1,276.548
data/instance_small,parallel,2,2048,200,3019.12,3049.12,3019.12,3049.12,1,424.88
data/instance_small,parallel,2,3141,132,3040.42,3072.23,3039.29,3063.29,1,256.755
data/instance_small,parallel,2,4096,200,3002.36,3029.36,3002.36,3029.36,1,396.556
data/instance_small,parallel,2,5000,200,3020.41,3100.07,3007.96,3028.96,1,341.14
data/instance_small,parallel,2,6789,186,3065.05,3089.05,3065.05,3089.05,1,385.841
data/instance_small,parallel,2,7654,140,3030.93,3097.93,3002.42,3029.42,1,227.308
data/instance_small,parallel,2,8192,148,2984.27,3011.27,2984.27,3011.27,1,252.023
data/instance_small,parallel,2,9001,200,3019.1,3049.1,3019.1,3049.1,1,317.01
data/instance_small,parallel,2,9999,137,2992.62,3102.62,2935.38,2959.38,1,305.849
data/instance_small,parallel,4,42,200,3024.18,3088.18,2970.42,2997.42,1,289.762
data/instance_small,parallel,4,123,152,3061.76,3097.76,3061.76,3097.76,1,203.056
data/instance_small,parallel,4,256,200,3097.2,3130.2,3097.2,3130.2,1,264.319
data/instance_small,parallel,4,512,142,3032.75,3059.75,3032.75,3059.75,1,204.738
data/instance_small,parallel,4,999,171,3016.98,3123.98,2990.04,3014.04,1,256.785
data/instance_small,parallel,4,1337,137,3028.09,3095.52,2978.85,3002.85,1,174.633
data/instance_small,parallel,4,2048,139,3048.29,3078.29,3048.29,3078.29,1,198.97
data/instance_small,parallel,4,3141,200,3094.23,3130.23,3094.23,3130.23,1,284.677
data/instance_small,parallel,4,4096,200,3012.05,3039.05,3012.05,3039.05,1,270.513
data/instance_small,parallel,4,5000,120,2955.04,2997.9,2950.68,2983.68,1,188.611
data/instance_small,parallel,4,6789,200,3085.48,3118.48,3085.48,3118.48,1,275.148
data/instance_small,parallel,4,7654,150,2992.79,3062.79,2969.08,2993.08,1,207.816
data/instance_small,parallel,4,8192,157,2967.06,3034.12,2894.57,2915.57,1,240.488
data/instance_small,parallel,4,9001,200,3058.72,3134.72,3054.62,3087.62,1,271.649
data/instance_small,parallel,4,9999,200,3048.86,3072.86,3048.86,3072.86,1,279.175
data/instance_small,parallel,8,42,200,3055.23,3085.23,3055.23,3085.23,1,257.004
data/instance_small,parallel,8,123,200,3039.67,3114.18,3034.88,3064.88,1,283.723
data/instance_small,parallel,8,256,195,3058.85,3128.85,3052.22,3082.22,1,269.467
data/instance_small,parallel,8,512,200,3043.33,3079.33,3043.33,3079.33,1,265.149
data/instance_small,parallel,8,999,195,3016.1,3133.84,3010.84,3040.84,1,316.315
data/instance_small,parallel,8,1337,177,3051.54,3136.84,3032.39,3059.39,1,202.956
data/instance_small,parallel,8,2048,168,3066.37,3099.37,3066.37,3099.37,1,227.628
data/instance_small,parallel,8,3141,200,3048.15,3121.15,3020.64,3047.64,1,268.534
data/instance_small,parallel,8,4096,129,2910.97,3015.56,2825.19,2840.19,1,185.014
data/instance_small,parallel,8,5000,183,3031.13,3052.13,3031.13,3052.13,1,269.536
data/instance_small,parallel,8,6789,200,2982.33,3107.07,2964.11,2994.11,1,249.158
data/instance_small,parallel,8,7654,146,3044.83,3071.83,3044.83,3071.83,1,198.996
data/instance_small,parallel,8,8192,162,3051.68,3081.68,3051.68,3081.68,1,219.298
data/instance_small,parallel,8,9001,200,3029.68,3114.34,3021.77,3048.77,1,294.082
data/instance_small,parallel,8,9999,184,3032.91,3105.91,3022.82,3052.82,1,235.264
data/instance_small,islands,1,42,200,3080.69,3113.69,3080.69,3113.69,1,615.703
data/instance_small,islands,1,123,200,3034.88,3070.88,3034.88,3070.88,1,596.554
data/instance_small,islands,1,256,200,3014.68,3169.3,2961.92,2991.92,1,614.346
data/instance_small,islands,1,512,200,3004.32,3074.32,2982.51,3015.51,1,621.616
data/instance_small,islands,1,999,200,3060.27,3090.27,3060.27,3090.27,1,591.773
data/instance_small,islands,1,1337,200,3043.92,3122.92,3027.82,3063.82,1,616.205
data/instance_small,islands,1,2048,200,3019.13,3049.13,3019.13,3049.13,1,593.901
data/instance_small,islands,1,3141,200,2969.41,3033.41,2927.37,2948.37,1,674.61
data/instance_small,islands,1,4096,200,3049.38,3082.38,3049.38,3082.38,1,616.569
data/instance_small,islands,1,5000,200,3050.81,3080.81,3050.81,3080.81,1,613.837
data/instance_small,islands,1,6789,200,2969.41,2999.91,2965.27,2986.27,1,605.736
data/instance_small,islands,1,7654,200,2983.32,3047.32,2933.32,2954.32,1,594.245
data/instance_small,islands,1,8192,200,3047.91,3083.91,3047.91,3083.91,1,606.219
data/instance_small,islands,1,9001,200,3049.64,3162.64,3045.77,3072.77,1,619.374
data/instance_small,islands,1,9999,200,3021.03,3131.03,3005.65,3038.65,1,627.012
data/instance_small,islands,2,42,200,3062.19,3089.19,3062.19,3089.19,1,643.393
data/instance_small,islands,2,123,200,3048.51,3125.78,3021.09,3051.09,1,691.333
data/instance_small,islands,2,256,200,3050.68,3080.68,3050.68,3080.68,1,668.319
data/instance_small,islands,2,512,200,3055.61,3085.61,3055.61,3085.61,1,670.587
data/instance_small,islands,2,999,200,3094.23,3130.23,3094.23,3130.23,1,657.979
data/instance_small,islands,2,1337,200,3077.91,3113.91,3077.91,3113.91,1,687.801
data/instance_small,islands,2,2048,200,3051.37,3084.37,3051.37,3084.37,1,671.851
data/instance_small,islands,2,3141,200,3094.23,3130.23,3094.23,3130.23,1,725.702
data/instance_small,islands,2,4096,200,3093.53,3126.53,3093.53,3126.53,1,622.258
data/instance_small,islands,2,5000,200,3083.27,3113.27,3083.27,3113.27,1,707.951
data/instance_small,islands,2,6789,200,3049.23,3125.23,3043.12,3076.12,1,648.665
data/instance_small,islands,2,7654,200,3072.86,3110.21,3070.47,3103.47,1,699.345
data/instance_small,islands,2,8192,200,3088.45,3118.45,3088.45,3118.45,1,638.729
data/instance_small,islands,2,9001,200,3072.86,3110.21,3067.65,3100.65,1,715.433
data/instance_small,islands,2,9999,200,3011.35,3075.35,2991.83,3015.83,1,633.713
data/instance_small,islands,4,42,200,3097.2,3130.2,3097.2,3130.2,1,813.141
data/instance_small,islands,4,123,200,3059.69,3129.69,3030.96,3057.96,1,786.877
data/instance_small,islands,4,256,200,3088.45,3118.45,3088.45,3118.45,1,1059.77
data/instance_small,islands,4,512,200,3051.02,3083.61,3043.78,3073.78,1,1249.77
