variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,kernel_time_ms,transfer_d2h_ms,transfer_h2d_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_basic,instance_small,1024,100,42,256,103,105.007,15.1232,3.27286,1.27168,0.398401,3668.92,1,0.295526,2398.79
cuda_basic,instance_small,1024,100,43,256,86,69.6699,12.5135,2.74086,1.06595,0.398401,3668.92,1,0.291563,2366.71
cuda_basic,instance_small,1024,100,44,256,85,68.2622,12.3828,2.77744,1.05302,0.39803,3766.28,1,0.293313,2384.11
cuda_basic,instance_small,1024,100,45,256,96,74.2338,13.9613,3.09955,1.21757,0.398401,3668.92,1,0.284774,2314.99
cuda_basic,instance_small,1024,100,46,256,100,73.1025,14.5916,3.23901,1.21866,0.39803,3766.28,1,0.312457,2542.32
cuda_basic,instance_small,1024,100,47,256,94,84.696,13.7779,3.03472,1.16019,0.398401,3668.92,1,0.304282,2472.91
cuda_basic,instance_small,1024,100,48,256,92,71.057,13.3529,2.94051,1.12675,0.398401,3668.92,1,0.298673,2427.5
cuda_basic,instance_small,1024,100,49,256,90,77.0812,13.315,2.88538,1.11197,0.398401,3668.92,1,0.307182,2496.38
cuda_basic,instance_small,1024,100,50,256,82,75.8275,11.926,2.63718,1.0087,0.39803,3766.28,1,0.288661,2346.45
cuda_basic,instance_small,1024,100,51,256,96,79.1011,13.956,3.03888,1.16659,0.398401,3668.92,1,0.295544,2400.55
cuda_basic,instance_small,4096,100,42,256,79,125.534,15.6047,2.81142,0.99504,0.398401,3668.92,1,0.303507,2466.63
cuda_basic,instance_small,4096,100,43,256,75,117.168,14.8321,2.66378,0.959936,0.398401,3668.92,1,0.309986,2517.46
cuda_basic,instance_small,4096,100,44,256,78,121.828,15.3817,2.73571,0.98256,0.398401,3668.92,1,0.28961,2352.52
cuda_basic,instance_small,4096,100,45,256,73,109.226,14.4617,2.52531,0.916256,0.398401,3668.92,1,0.293072,2383.78
cuda_basic,instance_small,4096,100,46,256,77,115.364,15.2543,2.72547,0.974848,0.39803,3766.28,1,0.301003,2446.36
cuda_basic,instance_small,4096,100,47,256,75,116.871,15.1169,2.65949,0.955232,0.398401,3668.92,1,0.295811,2404.33
cuda_basic,instance_small,4096,100,48,256,75,126.352,14.8765,2.65248,0.959776,0.39803,3766.28,1,0.284785,2316.7
cuda_basic,instance_small,4096,100,49,256,75,123.099,14.8198,2.73888,0.97808,0.398401,3668.92,1,0.302163,2457.37
cuda_basic,instance_small,4096,100,50,256,75,117.599,14.8251,2.6464,0.961312,0.39803,3766.28,1,0.308265,2505.15
cuda_basic,instance_small,4096,100,51,256,86,121.29,17.0164,3.00832,1.08211,0.398401,3668.92,1,0.3049,2476.29
cuda_basic,instance_small,16384,100,42,256,72,275.241,18.5413,3.15926,1.04355,0.398401,3668.92,1,0.299109,2429.41
