variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_optimized,instance_small,1024,100,42,256,87,89.7494,0.398401,3668.92,1,0.296964,2412.05
cuda_optimized,instance_small,1024,100,43,256,86,68.703,0.398401,3668.92,1,0.291563,2366.71
cuda_optimized,instance_small,1024,100,44,256,87,71.1923,0.39803,3766.28,1,0.293313,2384.11
cuda_optimized,instance_small,1024,100,45,256,87,76.3699,0.398401,3668.92,1,0.284774,2314.99
cuda_optimized,instance_small,1024,100,46,256,89,68.1409,0.39803,3766.28,1,0.312457,2542.32
cuda_optimized,instance_small,1024,100,47,256,94,77.919,0.398401,3668.92,1,0.301065,2445.25
cuda_optimized,instance_small,1024,100,48,256,89,64.2734,0.398401,3668.92,1,0.309345,2515.51
cuda_optimized,instance_small,1024,100,49,256,97,70.5827,0.398401,3668.92,1,0.302163,2457.37
cuda_optimized,instance_small,1024,100,50,256,83,76.2143,0.398401,3668.92,1,0.288661,2346.45
cuda_optimized,instance_small,1024,100,51,256,87,67.2168,0.39803,3766.28,1,0.295544,2400.55
cuda_optimized,instance_small,4096,100,42,256,73,112.99,0.398401,3668.92,1,0.294552,2394.14
cuda_optimized,instance_small,4096,100,43,256,74,107.68,0.398401,3668.92,1,0.303776,2467.19
cuda_optimized,instance_small,4096,100,44,256,78,115.577,0.39803,3766.28,1,0.28961,2352.52
cuda_optimized,instance_small,4096,100,45,256,72,105.459,0.398401,3668.92,1,0.293072,2383.78
cuda_optimized,instance_small,4096,100,46,256,75,103.014,0.39803,3766.28,1,0.301003,2446.36
cuda_optimized,instance_small,4096,100,47,256,74,104.471,0.398401,3668.92,1,0.295811,2404.33
cuda_optimized,instance_small,4096,100,48,256,73,106.143,0.39803,3766.28,1,0.284785,2316.7
cuda_optimized,instance_small,4096,100,49,256,74,115.339,0.398401,3668.92,1,0.302163,2457.37
cuda_optimized,instance_small,4096,100,50,256,77,107.3,0.39803,3766.28,1,0.308265,2505.15
cuda_optimized,instance_small,4096,100,51,256,74,110.391,0.398401,3668.92,1,0.3049,2476.29
cuda_optimized,instance_small,16384,100,42,256,72,261.933,0.398401,3668.92,1,0.299109,2429.41
cuda_optimized,instance_small,16384,100,43,256,70,256.942,0.39803,3766.28,1,0.299244,2428.89
cuda_optimized,instance_small,16384,100,44,256,69,247.118,0.398401,3668.92,1,0.300813,2443.21
cuda_optimized,instance_small,16384,100,45,256,71,252.679,0.398401,3668.92,1,0.298438,2425.6
