variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,kernel_time_ms,transfer_d2h_ms,transfer_h2d_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_optimized,instance_small,1024,100,42,256,87,88.6739,11.3693,2.23824,0.011968,0.398401,3668.92,1,0.296964,2412.05
cuda_optimized,instance_small,1024,100,43,256,86,63.0172,11.2665,2.20006,0.012,0.398401,3668.92,1,0.291563,2366.71
cuda_optimized,instance_small,1024,100,44,256,87,70.7506,11.4819,2.31526,0.012064,0.39803,3766.28,1,0.293313,2384.11
cuda_optimized,instance_small,1024,100,45,256,87,70.3981,11.3458,2.25869,0.012256,0.398401,3668.92,1,0.284774,2314.99
cuda_optimized,instance_small,1024,100,46,256,89,71.65,11.6869,2.3095,0.014144,0.39803,3766.28,1,0.312457,2542.32
cuda_optimized,instance_small,1024,100,47,256,94,69.0051,12.3233,2.4257,0.011712,0.398401,3668.92,1,0.301065,2445.25
cuda_optimized,instance_small,1024,100,48,256,89,72.4874,11.6702,2.29536,0.011904,0.398401,3668.92,1,0.309345,2515.51
cuda_optimized,instance_small,1024,100,49,256,97,73.9311,12.8076,2.53014,0.012128,0.398401,3668.92,1,0.302163,2457.37
cuda_optimized,instance_small,1024,100,50,256,83,69.4185,10.9258,2.14618,0.012448,0.398401,3668.92,1,0.288661,2346.45
cuda_optimized,instance_small,1024,100,51,256,87,71.4509,11.517,2.2511,0.012544,0.39803,3766.28,1,0.295544,2400.55
cuda_optimized,instance_small,4096,100,42,256,73,103.993,12.5447,1.90086,0.03392,0.398401,3668.92,1,0.294552,2394.14
cuda_optimized,instance_small,4096,100,43,256,74,111.24,12.7945,1.89405,0.035168,0.398401,3668.92,1,0.303776,2467.19
cuda_optimized,instance_small,4096,100,44,256,78,111.936,13.5632,2.05286,0.034272,0.39803,3766.28,1,0.28961,2352.52
cuda_optimized,instance_small,4096,100,45,256,72,110.552,12.3631,1.88211,0.034496,0.398401,3668.92,1,0.293072,2383.78
cuda_optimized,instance_small,4096,100,46,256,75,110.258,12.9123,1.93917,0.035488,0.39803,3766.28,1,0.301003,2446.36
cuda_optimized,instance_small,4096,100,47,256,74,110.867,12.7261,1.89021,0.03632,0.398401,3668.92,1,0.295811,2404.33
cuda_optimized,instance_small,4096,100,48,256,73,107.357,12.5762,1.9129,0.035904,0.39803,3766.28,1,0.284785,2316.7
cuda_optimized,instance_small,4096,100,49,256,74,111.51,12.8682,1.9096,0.03584,0.398401,3668.92,1,0.302163,2457.37
cuda_optimized,instance_small,4096,100,50,256,77,112.392,13.2597,1.98909,0.03552,0.39803,3766.28,1,0.308265,2505.15
cuda_optimized,instance_small,4096,100,51,256,74,111.769,12.7031,1.92848,0.034816,0.398401,3668.92,1,0.3049,2476.29
cuda_optimized,instance_small,16384,100,42,256,72,258.874,16.0366,1.85888,0.136032,0.398401,3668.92,1,0.299109,2429.41
cuda_optimized,instance_small,16384,100,43,256,70,255.593,15.6961,1.82605,0.152352,0.39803,3766.28,1,0.299244,2428.89
cuda_optimized,instance_small,16384,100,44,256,69,259.305,15.5087,1.79619,0.168736,0.398401,3668.92,1,0.300813,2443.21
cuda_optimized,instance_small,16384,100,45,256,71,249.394,16.0358,1.86915,0.146784,0.398401,3668.92,1,0.298438,2425.6
cuda_optimized,instance_small,16384,100,46,256,73,250.986,16.397,1.88346,0.1456,0.39803,3766.28,1,0.29753,2423.11
cuda_optimized,instance_small,16384,100,47,256,71,250.604,15.8113,1.87043,0.127104,0.398401,3668.92,1,0.302686,2458.37
cuda_optimized,instance_small,16384,100,48,256,73,266.058,16.4109,1.87379,0.1304,0.398401,3668.92,1,0.300165,2441.2
cuda_optimized,instance_small,16384,100,49,256,72,254.965,16.0302,1.86205,0.132352,0.398401,3668.92,1,0.305792,2485.13
cuda_optimized,instance_small,16384,100,50,256,77,252.42,17.1683,2.05891,0.13568,0.39803,3766.28,1,0.301596,2452.78
cuda_optimized,instance_small,16384,100,51,256,67,264.277,14.9466,1.73005,0.12224,0.398401,3668.92,1,0.321921,2627.03
cuda_optimized,instance_medium,1024,1000,42,256,200,347.518,136.731,5.7969,0.083264,0.366274,35819.1,1,0.25711,22147.4
cuda_optimized,instance_medium,1024,1000,43,256,200,341.462,126.058,5.78944,0.105376,0.363109,35918,1,0.25613,22054.5
cuda_optimized,instance_medium,1024,1000,44,256,200,344.722,126.955,5.76973,0.089024,0.366781,37091.3,1,0.255081,21957.5
cuda_optimized,instance_medium,1024,1000,45,256,200,346.699,125.765,5.85853,0.08384,0.362785,34726.7,1,0.257753,22194.1
cuda_optimized,instance_medium,1024,1000,46,256,200,333.919,126.48,5.74966,0.088736,0.368051,36219.1,1,0.255194,21962.1
cuda_optimized,instance_medium,1024,1000,47,256,200,346.339,126.681,5.73232,0.086272,0.367217,35766.2,1,0.256832,22109.8
cuda_optimized,instance_medium,1024,1000,48,256,200,334.856,126.541,5.60966,0.114048,0.361362,35084,1,0.258072,22223.3
cuda_optimized,instance_medium,1024,1000,49,256,200,342.854,126.14,5.72544,0.10384,0.365651,35316,1,0.25485,21944.5
cuda_optimized,instance_medium,1024,1000,50,256,200,334.848,126.551,5.68358,0.09344,0.364946,35538.4,1,0.25701,22114.8
cuda_optimized,instance_medium,1024,1000,51,256,200,342.739,126.195,5.67776,0.090592,0.367801,35397.6,1,0.263444,22700.7
cuda_optimized,instance_medium,4096,1000,42,256,200,804.522,135.287,5.76227,0.290048,0.386775,38221.6,1,0.258238,22249.6
cuda_optimized,instance_medium,4096,1000,43,256,200,811.359,135.126,5.75792,0.333184,0.386123,38691.5,1,0.260814,22452.2
cuda_optimized,instance_medium,4096,1000,44,256,200,804.37,135.211,5.74563,0.328576,0.387361,38800.7,1,0.257152,22140.7
cuda_optimized,instance_medium,4096,1000,45,256,200,812.367,134.613,5.73494,0.30464,0.381667,37721.2,1,0.258751,22298.9
cuda_optimized,instance_medium,4096,1000,46,256,200,803.952,135.091,5.46198,0.29872,0.38365,37924.2,1,0.258958,22294.4
cuda_optimized,instance_medium,4096,1000,47,256,200,813.801,135.025,5.79594,0.280544,0.384976,38081,1,0.259324,22327.5
cuda_optimized,instance_medium,4096,1000,48,256,200,806.186,134.888,5.72883,0.301792,0.382472,37539.3,1,0.25778,22198.2
cuda_optimized,instance_medium,4096,1000,49,256,200,804.284,135.321,5.79395,0.375232,0.387375,37898.2,1,0.258162,22219
cuda_optimized,instance_medium,4096,1000,50,256,200,810.778,134.932,5.70141,0.318944,0.385137,38322.9,1,0.259642,22373.8
cuda_optimized,instance_medium,4096,1000,51,256,200,802.826,134.357,5.72198,0.308384,0.385211,37589.6,1,0.263374,22694.7
cuda_optimized,instance_medium,16384,1000,42,256,200,2763.38,240.283,5.80269,1.21203,0.393925,39348.3,1,0.260662,22458
cuda_optimized,instance_medium,16384,1000,43,256,200,2763.47,241.53,5.81904,1.25597,0.39397,38925.9,1,0.259473,22357.5
cuda_optimized,instance_medium,16384,1000,44,256,200,2775.82,243.196,5.92064,1.21373,0.393622,39073.5,1,0.260899,22469.9
